Province,Watershed,Nation_Name
AB,Athabasca River Basin,Alexis Nakota Sioux Nation
AB,Athabasca River Basin,Aseniwuche Winewak Nation
AB,Athabasca River Basin,Blood
AB,Athabasca River Basin,Alexander
AB,Athabasca River Basin,Tsuu T'ina Nation
AB,Athabasca River Basin,Horse Lake First Nation
AB,Athabasca River Basin,"Sawridge First Nation, Sturgeon Lake Cree Nation, Whitefish Lake"
AB,Athabasca River Basin,Sunchild First Nation
AB,Athabasca River Basin,Tsuu T'ina Nation
AB,Athabasca River Basin,Driftpile First Nation
AB,Athabasca River Basin,Poundmaker
AB,Athabasca River Basin,"Bearspaw, Chiniki, Stoney"
AB,Athabasca River Basin,Moosomin
AB,Athabasca River Basin,Swan River First Nation
AB,Athabasca River Basin,"Osoyoos, Upper Nicola, Okanagan Nation"
AB,Athabasca River Basin,Northern Secwepemc
AB,Athabasca River Basin,Kelly Lake Métis Settlement Society
AB,Athabasca River Basin,"Big Grassy, Biinjitiwaabik Zaaging Anishinaabek, Bingwi Neeyashi Anishinaabek, Brunswick House, Chapleau Ojibway, Eagle Lake, Grassy Narrows First Nation, M'Chigeeng First Nation, Magnetawan, Ochiichagwe'babigo'ining First Nation, Poplar Hill, Seine River First Nation, Serpent River, Whitesand"
AB,Athabasca River Basin,"Big Island Lake Cree Nation, Cumberland House Cree Nation, Marcel Colomb First Nation, Mathias Colomb, Peter Ballantyne Cree Nation, Waterhen Lake"
AB,Athabasca River Basin,Thunderchild First Nation
AB,Athabasca River Basin,Paul
AB,Athabasca River Basin,Metis Nation of Alberta
AB,Athabasca River Basin,Numbered Treaty
AB,Athabasca River Basin,Numbered Treaty
AB,Athabasca River Basin,Secwepemc Nation
AB,Athabasca River Basin,Stoney Indian Band
AB,Athabasca River Basin,Ktunaxa Nation and Ktunaxa/Kinbasket Tribal Council Society(Trad.Territory)
AB,Battle River Basin,Alexis Nakota Sioux Nation
AB,Battle River Basin,Blood
AB,Battle River Basin,Alexander
AB,Battle River Basin,Tsuu T'ina Nation
AB,Battle River Basin,"Sawridge First Nation, Sturgeon Lake Cree Nation, Whitefish Lake"
AB,Battle River Basin,Sunchild First Nation
AB,Battle River Basin,Tsuu T'ina Nation
AB,Battle River Basin,"Blood, Piikani Nation, Siksika Nation"
AB,Battle River Basin,"Birdtail Sioux, Canupawakpa Dakota First Nation, Dakota Plains Traditional Lands, Dakota Tipi, Sioux Valley Dakota Nation, Standing Buffalo, Wahpeton Dakota Nation, Whitecap Dakota First Nation, Wood Mountain"
AB,Battle River Basin,"Bearspaw, Chiniki, Stoney"
AB,Battle River Basin,Moosomin
AB,Battle River Basin,"Big Grassy, Biinjitiwaabik Zaaging Anishinaabek, Bingwi Neeyashi Anishinaabek, Brunswick House, Chapleau Ojibway, Eagle Lake, Grassy Narrows First Nation, M'Chigeeng First Nation, Magnetawan, Ochiichagwe'babigo'ining First Nation, Poplar Hill, Seine River First Nation, Serpent River, Whitesand"
AB,Battle River Basin,"Big Island Lake Cree Nation, Cumberland House Cree Nation, Marcel Colomb First Nation, Mathias Colomb, Peter Ballantyne Cree Nation, Waterhen Lake"
AB,Battle River Basin,Thunderchild First Nation
AB,Battle River Basin,Paul
AB,Battle River Basin,Metis Nation of Alberta
AB,Battle River Basin,Numbered Treaty
AB,Battle River Basin,Numbered Treaty
AB,North Saskatchewan River Basin,Alexis Nakota Sioux Nation
AB,North Saskatchewan River Basin,Aseniwuche Winewak Nation
AB,North Saskatchewan River Basin,Blood
AB,North Saskatchewan River Basin,Alexander
AB,North Saskatchewan River Basin,Tsuu T'ina Nation
AB,North Saskatchewan River Basin,"Sawridge First Nation, Sturgeon Lake Cree Nation, Whitefish Lake"
AB,North Saskatchewan River Basin,Sunchild First Nation
AB,North Saskatchewan River Basin,Tsuu T'ina Nation
AB,North Saskatchewan River Basin,Driftpile First Nation
AB,North Saskatchewan River Basin,Poundmaker
AB,North Saskatchewan River Basin,"Blood, Piikani Nation, Siksika Nation"
AB,North Saskatchewan River Basin,"Birdtail Sioux, Canupawakpa Dakota First Nation, Dakota Plains Traditional Lands, Dakota Tipi, Sioux Valley Dakota Nation, Standing Buffalo, Wahpeton Dakota Nation, Whitecap Dakota First Nation, Wood Mountain"
AB,North Saskatchewan River Basin,"Bearspaw, Chiniki, Stoney"
AB,North Saskatchewan River Basin,Moosomin
AB,North Saskatchewan River Basin,Swan River First Nation
AB,North Saskatchewan River Basin,"Osoyoos, Upper Nicola, Okanagan Nation"
AB,North Saskatchewan River Basin,Northern Secwepemc
AB,North Saskatchewan River Basin,Kelly Lake Métis Settlement Society
AB,North Saskatchewan River Basin,"Big Grassy, Biinjitiwaabik Zaaging Anishinaabek, Bingwi Neeyashi Anishinaabek, Brunswick House, Chapleau Ojibway, Eagle Lake, Grassy Narrows First Nation, M'Chigeeng First Nation, Magnetawan, Ochiichagwe'babigo'ining First Nation, Poplar Hill, Seine River First Nation, Serpent River, Whitesand"
AB,North Saskatchewan River Basin,"Big Island Lake Cree Nation, Cumberland House Cree Nation, Marcel Colomb First Nation, Mathias Colomb, Peter Ballantyne Cree Nation, Waterhen Lake"
AB,North Saskatchewan River Basin,Thunderchild First Nation
AB,North Saskatchewan River Basin,Paul
AB,North Saskatchewan River Basin,Metis Nation of Alberta
AB,North Saskatchewan River Basin,Numbered Treaty
AB,North Saskatchewan River Basin,Numbered Treaty
AB,North Saskatchewan River Basin,Numbered Treaty
AB,North Saskatchewan River Basin,Secwepemc Nation
AB,North Saskatchewan River Basin,Stoney Indian Band
AB,North Saskatchewan River Basin,Ktunaxa Nation and Ktunaxa/Kinbasket Tribal Council Society(Trad.Territory)
AB,Peace River Basin,Alexis Nakota Sioux Nation
AB,Peace River Basin,Aseniwuche Winewak Nation
AB,Peace River Basin,Alexander
AB,Peace River Basin,Tsuu T'ina Nation
AB,Peace River Basin,Horse Lake First Nation
AB,Peace River Basin,"Sawridge First Nation, Sturgeon Lake Cree Nation, Whitefish Lake"
AB,Peace River Basin,Tsuu T'ina Nation
AB,Peace River Basin,Driftpile First Nation
AB,Peace River Basin,"Bearspaw, Chiniki, Stoney"
